business_name,official_website,emails,phones,address,extraction_method,confidence,pages_visited,social_linkedin,social_facebook,social_instagram,social_twitter,social_youtube,social_github,errors,provenance
"Farallon Capital Management, L.L.C.",https://www.faralloncapital.com/contact-us,asiamediainquiries@faralloncapital.com; irinquiries@faralloncapital.com; mediainquiries@faralloncapital.com,+12125972270; +14154212132; +442073957200; +551120509303; +6563382132; +81364501991; +85225970100,"c/o Farallon Capital Management, San Francisco, CA, CA",HTTP,0.96,https://www.faralloncapital.com/contact-us,,,,,,,,"{""business_name"": ""scraper"", ""emails"": ""scraper"", ""phones"": ""scraper"", ""address"": ""importer""}"
Weaver Mine Capital Management Hedge Fund Manager Profile,https://www.preqin.com/data/profile/fund-manager/weaver-mine-capital-management/533018,preqin.clientservices@blackrock.com; preqin.info@blackrock.com; press@preqin.com,+442036493276,"403 WEAVER MINE TRAIL, Chapel Hill, North Carolina, US",Merged,0.97,https://www.preqin.com/preqins-research-insights-content-teams; https://www.preqin.com/contact-us; https://www.preqin.com/data/profile/fund-manager/weaver-mine-capital-management/533018; https://www.preqin.com/about/who-we-are,https://www.linkedin.com/company/147822/,https://www.facebook.com/people/Preqin/100063552974258/,https://www.instagram.com/preqin,https://x.com/preqin,https://www.youtube.com/channel/UCOSSwdWLWEDF-_audb5S_fw,,,"{""business_name"": ""scraper"", ""emails"": ""scraper"", ""phones"": ""scraper"", ""address"": ""importer""}"
,https://www.sec.gov/Archives/edgar/data/1813520/000181352020000002/xslFormDX01/primary_doc.xml,form@sipc.org; mike@cogepa.com,+16303518942; +16464729603,"4370 Alpine Road, Los Altos, CA, US",Merged,0.67,https://www.sec.gov/Archives/edgar/data/1214044/000101359418000566/xslFormDX01/primary_doc.xml; https://www.sec.gov/Archives/edgar/data/1297389/000129738919000002/xslFormDX01/primary_doc.xml; https://www.sec.gov/Archives/edgar/data/1812095/000090514821000596/efc21-459_sc13d.htm; https://www.sec.gov/Archives/edgar/data/1813520/000181352020000002/xslFormDX01/primary_doc.xml; https://www.sec.gov/Archives/edgar/data/1843541/000119248221000123/xslFormDX08/primary_doc.xml; https://www.sec.gov/Archives/edgar/data/1887390/0001879785-21-000005-index.htm; https://www.sec.gov/Archives/edgar/data/1974893/000197489325000002/xslFormDX01/primary_doc.xml; https://www.sec.gov/Archives/edgar/data/2104310/000109690626000046/xslFormDX01/primary_doc.xml; https://www.sec.gov/Archives/edgar/vprr/1800/18005703.pdf,,,,,,,AI Enrichment Error: All providers failed for structured query. Last error: Gemini rate limited (429). Retry after 60.0s.; AI Enrichment Error: No AI providers available for structured query.,"{""business_name"": ""scraper"", ""emails"": "",scraper"", ""phones"": "",scraper"", ""address"": ""importer""}"
,https://www.bbb.org/us/wa/woodinville/profile/boat-dealers/three-rivers-marine-1296-22025154,,,"6929 North Hayden Road, Woodinville, Washington, AZ",Merged,0.0,https://www.bbb.org/us/ny/new-york/profile/financial-services/zenquant-technologies-lp-0633-90004641; https://www.bbb.org/us/ny/new-york/profile/fintech/zenquant-fintech-llc-1256-90004641; https://www.bbb.org/us/ny/new-york/profile/venture-capital/zelda-ventures-gp-1-llc-1256-900001; https://www.bbb.org/us/ny/new-york/profile/venture-capital/zelda-ventures-gp-2-llc-1256c-100000000; https://www.bbb.org/us/wa/woodinville/profile/boat-dealers/three-rivers-marine-1296-22025154,,,,,,,AI Enrichment Error: No AI providers available for structured query.,"{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}"
,https://www.loopnet.com/commercial-real-estate-brokers/profile/joseph-weiss/kp6lx68b,,,"80 Sherman Street, Montvale, NJ, US",HTTP,0.0,https://www.loopnet.com/commercial-real-estate-brokers/profile/joseph-weiss/kp6lx68b,,,,,,,,"{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}"
,https://marketcast.smartkarma.com/company/green-options-pbc,,,"712 SE 7th Avenue, Portland, OR, US",HTTP,0.0,https://marketcast.smartkarma.com/company/green-options-pbc,,,,,,,,"{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}"
,https://hig.com/team/george-webster,,,"200 W. Martin Luther King Blvd., New York, NY, TN",HTTP,0.0,https://hig.com/team/george-webster,,,,,,,,"{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}"
AngelBacked,https://www.angelbacked.co/investor/larry-weidman,,,"700 River Avenue, Pittsburgh, Pennsylvania, PA",HTTP,0.1,https://www.angelbacked.co/investor/larry-weidman; https://www.angelbacked.co/contact; https://www.angelbacked.co/contact-us; https://www.angelbacked.co/about,,,,https://x.com/angelbackedco,,,,"{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}"
,https://www.nasaaefd.org/FormD/primaryDocument,,+12798000000,"56 Wareham Street, Boston, MASSACHUSETTS, MA",Merged,0.75,https://reports.adviserinfo.sec.gov/contact; https://reports.adviserinfo.sec.gov/reports/ADV/315640/PDF/315640.pdf; https://www.nasaaefd.org/FormD/primaryDocument; https://reports.adviserinfo.sec.gov/contact-us; https://reports.adviserinfo.sec.gov/about,,,,,,,AI Enrichment Error: No AI providers available for structured query.,"{""business_name"": ""scraper"", ""emails"": """", ""phones"": "",scraper"", ""address"": ""importer""}"
About Us,https://edibleschoolyard.org/about-us,ashley@edibleschoolyard.org; jennifer@alicewatersinstitute.org; jeremy@edibleschoolyard.org; kathryn@alicewatersinstitute.org; schoolyard@dr.martin,+15103886371; +15108433811,"Room 5A01, Berkeley, California, F4",HTTP,1.0,https://edibleschoolyard.org/about-us; https://edibleschoolyard.org/content/contact-us; https://edibleschoolyard.org/about-us; https://edibleschoolyard.org/about-us#off-canvas,,,https://www.instagram.com/edibleschoolyard/?hl=en,https://twitter.com/Edibleschoolyrd,,,,"{""business_name"": ""scraper"", ""emails"": ""scraper"", ""phones"": ""scraper"", ""address"": ""importer""}"
Eric Weitner - Global Head Of Technology Operations at Weber Shandwick,https://theorg.com/org/weber-shandwick/org-chart/eric-weitner,pr@theorg.com; sales@theorg.com,,"96 Anderson Street, New York, United States, US",HTTP,1.0,https://theorg.com/org/weber-shandwick/org-chart/eric-weitner; https://theorg.com/contact; https://theorg.com/about; https://theorg.com/contact-us,https://www.linkedin.com/company/theorg/,https://www.facebook.com/theorgcom,https://www.instagram.com/theorgcom,https://x.com/theorgcom,,,,"{""business_name"": ""scraper"", ""emails"": ""scraper"", ""phones"": """", ""address"": ""importer""}"
