id,npi,company_name,website,error_message,failed_at
1,,,,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
2,,Sam Wegenke,https://o2investment.com/team-member/sam-wegenke,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
3,,VirtuAlly,https://solventnetworks.com/endorsed_partners/virtually,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
4,,School Partnership Lead in Swansea at Swansea University,https://talents.studysmarter.co.uk/companies/swansea-university/school-partnership-lead-15039983,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
5,,"Europe Startup News: Revolut, Elvy, APEX",https://www.startupresearcher.com/news/startup-researcher-europe-week-50-2025,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
6,,About Us,https://edibleschoolyard.org/about-us,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
7,,Who We Are,https://pgsa.com/who-we-are,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
8,,Three Rivers Marine,https://www.bbb.org/us/wa/woodinville/profile/boat-dealers/three-rivers-marine-1296-22025154,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
9,,Rui Wei,https://chem.scu.edu.cn/hxen/info/1027/1967.htm,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
10,,Contact — Stonecrest Partners,https://www.stonecrestpartners.com/contact-1,"Database bulk write failure: (sqlite3.IntegrityError) UNIQUE constraint failed: completed_contacts.official_website
[SQL: INSERT INTO completed_contacts (npi, business_name, official_website, emails, phones, social_links, address, pages_visited, extraction_method, confidence, errors, provenance, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: (None, '', '', '[]', '[]', '{""linkedin"": """", ""facebook"": """", ""instagram"": """", ""twitter"": """", ""youtube"": """", ""github"": """"}', '603 East Broadway Street, 603 East Broadway Street, Prosper, US', '[]', 'HTTP', 0.0, '[""Empty or invalid website URL provided.""]', '{""business_name"": ""scraper"", ""emails"": """", ""phones"": """", ""address"": ""importer""}', '2026-07-11 11:39:38.940429', '2026-07-11 11:39:38.940429')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2026-07-11T11:39:38.949706
